SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
526415,OK PLAY (I) ,20.75,20.75,20.75,20.75
526423,KRITI INDUS.,59.3,59.5,55.25,59.4
526433,ASM TECHNOLO,166.95,167.3,163.0,167.3
526441,VISIONCINE  ,0.7,0.72,0.66,0.66
526445,INDRAYANI BI,7.13,7.47,7.0,7.01
526471,WINSOME BREW,4.4,4.4,4.16,4.38
526473,ELEGANT FLOR,1.5,1.5,1.5,1.5
526479,SKY INDUST. ,44.75,46.4,43.2,43.7
526481,PHOENIX INT.,12.36,13.65,12.36,12.75
526492,RISHIROOP   ,79.0,79.0,74.05,77.2
526494,PROMACT     ,5.25,5.25,5.25,5.25
526504,DOLPHIN MEDI,1.72,1.89,1.72,1.79
526506,SYSTAMATIX C,153.0,153.0,153.0,153.0
526519,ALPINE HSG. ,14.9,14.9,13.95,14.0
526521,SANGHI IND. ,45.9,46.0,43.55,44.65
526525,WWALUM      ,6.5,7.18,6.5,6.5
526544,SCANP GEOM  ,15.65,15.65,14.8,15.05
526546,CHOKSI LABOR,9.97,9.97,9.03,9.03
526550,CCHHL       ,4.72,5.39,4.61,4.87
526568,LONGVIEW TEA,12.39,12.39,11.5,11.5
526576,TECHIN      ,3.23,3.23,3.23,3.23
526582,TPL PLAST   ,152.25,163.1,141.2,160.3
526586,WIM PLAST LT,393.0,393.0,383.2,386.8
526596,LIBERTY SHOE,141.0,142.0,140.2,141.0
526604,LIPPI SYSTEM,7.06,7.06,6.73,6.73
526608,ELECTROTHERM,119.35,122.15,119.0,119.5
526612,BLUE DART EX,4702.35,4779.3,4691.0,4719.25
526614,EXPO GAS    ,4.35,4.45,4.22,4.23
526616,NAT.PLASTIC ,23.15,23.5,22.85,23.35
526622,MFL INDIA   ,0.19,0.19,0.19,0.19
526640,ROYALE MANOR,13.51,14.7,13.51,14.7
526642,MIRZA INTER ,51.75,51.95,51.35,51.75
526650,TOURISM FINA,56.6,58.55,56.6,58.0
526654,THAKKERS DEV,64.1,64.1,64.1,64.1
526662,RAJDARSHAN  ,12.0,12.55,11.4,12.39
526666,BHARTIYA INT,151.85,155.3,147.9,152.15
526668,KAMAT HOTELS,34.4,35.4,33.95,34.4
526683,HOTEL RUGBY ,1.16,1.16,1.16,1.16
526687,POLO HOTELS ,3.65,3.88,3.52,3.77
526703,ECOPLAST LTD,78.2,78.2,78.2,78.2
526721,NICCO PARKS ,49.0,50.15,49.0,50.0
526723,NTC INDUST  ,59.35,62.8,58.35,59.35
